               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045441,            0.065351,            0.016383,             0.67279,              0.6046,              0.6811,             0.44748,            0.041353,             0.03783,            0.010647,              0.0937,              0.0007,              0.0007
                   1,             0.04386,            0.061773,            0.017286,             0.74717,             0.61744,             0.71885,             0.48174,            0.040512,            0.036819,           0.0093679,            0.086005,            0.001005,            0.001005
                   2,            0.044723,            0.070745,            0.016391,             0.75353,             0.64982,             0.73766,             0.48428,            0.040015,            0.036168,           0.0086429,            0.077782,            0.000782,            0.000782
