               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.047168,            0.014443,                   0,             0.94807,                   1,             0.99326,              0.5176,            0.024208,             0.00772,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.045751,            0.016155,                   0,                   1,             0.99366,               0.995,             0.61876,            0.021632,           0.0081005,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.04622,            0.014685,                   0,             0.93925,                   1,             0.99109,             0.53845,            0.024902,           0.0074911,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.045264,            0.015011,                   0,             0.95451,             0.95384,             0.98532,             0.46547,            0.024805,           0.0067606,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.046839,            0.014583,                   0,                   1,               0.897,             0.96609,             0.57257,             0.02452,           0.0072155,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.043268,            0.013676,                   0,             0.94967,                   1,             0.99326,             0.57947,            0.023872,           0.0072126,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.042345,            0.014246,                   0,             0.99066,                   1,               0.995,             0.58201,            0.019673,           0.0066252,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.042219,            0.012926,                   0,             0.99244,                   1,               0.995,             0.59772,            0.020104,           0.0059223,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.042475,            0.013662,                   0,             0.99376,                   1,               0.995,             0.64017,            0.019138,           0.0066261,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.041031,            0.012683,                   0,             0.99644,                   1,               0.995,             0.63058,            0.019104,           0.0062666,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.043568,            0.013031,                   0,             0.99544,                   1,               0.995,             0.53838,            0.019238,           0.0056992,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.042018,            0.012511,                   0,             0.99269,                   1,               0.995,             0.51116,            0.021297,           0.0057937,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.040033,            0.012123,                   0,              0.9949,                   1,               0.995,             0.66509,            0.020824,           0.0049313,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.038834,            0.012781,                   0,             0.99663,                   1,               0.995,             0.67574,            0.017634,           0.0056458,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.039376,            0.012747,                   0,             0.99646,                   1,               0.995,             0.62569,            0.019745,           0.0053267,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036939,            0.011768,                   0,             0.99681,                   1,               0.995,              0.6179,            0.020011,           0.0055376,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.037521,            0.011174,                   0,             0.99621,                   1,               0.995,             0.53261,            0.020938,           0.0059046,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.037941,            0.012212,                   0,             0.99758,                   1,               0.995,             0.65343,            0.016967,           0.0053365,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.040013,            0.014202,                   0,             0.99678,                   1,               0.995,             0.66288,            0.018207,           0.0053437,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.037244,            0.011885,                   0,             0.99697,                   1,               0.995,             0.68069,            0.017679,           0.0053989,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.036206,            0.012408,                   0,             0.99699,                   1,               0.995,             0.71265,             0.01731,           0.0055609,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.036822,            0.011782,                   0,             0.99516,                   1,               0.995,             0.68191,            0.020874,           0.0054302,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.03588,            0.010306,                   0,              0.9971,                   1,               0.995,             0.71378,             0.01808,           0.0050431,                   0,            0.004159,            0.004159,            0.004159
