               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  20,             0.07203,            0.010083,                   0,             0.45174,                 0.5,             0.63786,             0.19907,            0.048862,           0.0084471,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.085955,            0.010429,                   0,             0.57486,                   1,             0.82833,             0.23394,            0.046707,           0.0080314,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.079592,              0.0123,                   0,             0.85822,                   1,               0.995,             0.22388,            0.045627,             0.00815,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.085601,            0.011496,                   0,             0.41036,                 0.5,             0.49766,            0.099532,            0.050791,           0.0080664,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.070549,            0.012517,                   0,           0.0033333,                   1,            0.062467,            0.013947,            0.051591,           0.0076955,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.072107,            0.012471,                   0,             0.45049,                 0.5,             0.50252,               0.054,            0.048716,           0.0085655,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.070298,            0.015051,                   0,             0.45049,                 0.5,             0.50252,               0.054,            0.048716,           0.0085655,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.073386,            0.012281,                   0,             0.33219,                 0.5,             0.50214,            0.060536,            0.049333,           0.0086377,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.069631,            0.012582,                   0,             0.35407,                 0.5,                0.31,             0.03618,            0.050141,           0.0084445,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.075132,             0.01342,                   0,           0.0033333,                   1,            0.088789,           0.0092102,            0.053717,           0.0082719,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.069185,             0.01343,                   0,             0.82309,                 0.5,             0.51195,            0.063053,            0.046985,           0.0087134,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.074841,            0.013578,                   0,             0.33212,                 0.5,             0.54045,             0.16116,            0.045025,           0.0093899,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.076386,            0.013067,                   0,             0.33212,                 0.5,             0.54045,             0.16116,            0.045025,           0.0093899,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.074321,            0.014404,                   0,             0.13733,             0.80638,             0.16583,            0.045669,            0.046757,           0.0097721,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.07368,            0.013604,                   0,           0.0033333,                   1,            0.034194,             0.02161,            0.049258,             0.01019,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.081315,            0.011814,                   0,           0.0033333,                   1,            0.051519,             0.02219,            0.049847,            0.009847,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.077562,            0.010767,                   0,             0.09036,                 0.5,              0.2275,            0.032232,            0.047144,           0.0099797,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.06543,            0.011568,                   0,             0.63448,                 0.5,             0.53848,             0.10846,            0.046399,           0.0088192,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.069551,            0.010978,                   0,             0.63448,                 0.5,             0.53848,             0.10846,            0.046399,           0.0088192,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.073603,            0.011598,                   0,             0.86714,                   1,               0.995,              0.2014,            0.046055,           0.0084652,                   0,            0.006238,            0.006238,            0.006238
                  40,              0.0699,            0.012461,                   0,               0.984,                   1,               0.995,             0.19987,            0.046216,           0.0086401,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.070946,            0.010144,                   0,                   1,             0.89614,               0.995,             0.24923,            0.044218,           0.0086706,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.064602,            0.012439,                   0,             0.75164,                 0.5,             0.53848,             0.15737,            0.047394,           0.0080663,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.066225,            0.015491,                   0,             0.85553,                 0.5,             0.54045,             0.11236,            0.047802,            0.007948,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.074733,            0.013128,                   0,             0.85553,                 0.5,             0.54045,             0.11236,            0.047802,            0.007948,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.070218,            0.011739,                   0,             0.88376,                 0.5,             0.54045,             0.11368,            0.046927,           0.0079939,                   0,            0.005644,            0.005644,            0.005644
                  46,              0.0712,            0.012344,                   0,                   1,             0.90906,               0.995,             0.20676,            0.045026,             0.00789,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.072218,             0.01036,                   0,                   1,             0.98293,               0.995,             0.45177,            0.040106,           0.0082725,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.073114,            0.010903,                   0,                   1,             0.93352,               0.995,             0.30722,            0.040248,           0.0087066,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.067065,            0.012263,                   0,             0.72868,                 0.5,             0.52948,              0.1668,            0.040991,           0.0090117,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.061043,            0.010835,                   0,             0.72868,                 0.5,             0.52948,              0.1668,            0.040991,           0.0090117,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.066851,            0.011423,                   0,             0.49121,                 0.5,             0.52948,             0.16485,            0.040848,           0.0090408,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.072639,            0.011945,                   0,             0.93187,                   1,               0.995,             0.26343,            0.040259,           0.0090721,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.065017,            0.012593,                   0,             0.91286,                   1,               0.995,             0.30763,            0.038371,           0.0090384,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.066258,             0.01401,                   0,             0.92353,                   1,               0.995,              0.3575,            0.037208,           0.0090902,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.066165,            0.012887,                   0,             0.89643,                   1,               0.995,             0.20317,            0.042947,           0.0086515,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.067153,            0.013414,                   0,             0.89643,                   1,               0.995,             0.20317,            0.042947,           0.0086515,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.071318,            0.011877,                   0,             0.80506,                   1,               0.995,             0.10326,            0.046268,           0.0084763,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.062067,            0.013222,                   0,             0.88911,                   1,               0.995,             0.20125,            0.043752,           0.0085466,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.063603,            0.011031,                   0,             0.95776,                   1,               0.995,             0.35371,             0.04045,           0.0086548,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.064979,            0.013617,                   0,                   1,             0.95553,               0.995,             0.32425,             0.03923,           0.0089521,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.063435,            0.011774,                   0,             0.95573,                   1,               0.995,              0.2554,            0.041312,           0.0087476,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.06031,             0.01133,                   0,             0.95573,                   1,               0.995,              0.2554,            0.041312,           0.0087476,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.064201,            0.012259,                   0,             0.92626,                   1,               0.995,             0.20939,            0.041766,           0.0086865,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.056461,             0.01175,                   0,             0.91639,                   1,               0.995,             0.20889,            0.042347,           0.0084887,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.058559,             0.01301,                   0,             0.91936,                   1,               0.995,             0.19964,            0.040247,           0.0082693,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.064234,            0.011946,                   0,             0.93159,                   1,               0.995,             0.22505,             0.04021,           0.0081267,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.055252,            0.011531,                   0,             0.93931,                   1,               0.995,             0.22539,             0.03956,           0.0082471,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.063074,            0.011204,                   0,             0.93931,                   1,               0.995,             0.22539,             0.03956,           0.0082471,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.055362,            0.012314,                   0,             0.94597,                   1,               0.995,              0.2985,             0.03784,            0.008247,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.055872,            0.010292,                   0,             0.94564,                   1,               0.995,             0.34804,            0.035474,           0.0081856,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.064315,            0.011531,                   0,             0.94088,                   1,               0.995,               0.398,            0.033996,            0.008368,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.05958,            0.010856,                   0,             0.94775,                   1,               0.995,             0.24813,            0.037207,           0.0081863,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.055853,             0.01194,                   0,             0.94061,                   1,               0.995,             0.34808,            0.035016,           0.0080471,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.060679,            0.010866,                   0,             0.94061,                   1,               0.995,             0.34808,            0.035016,           0.0080471,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.060487,             0.01193,                   0,             0.94962,                   1,               0.995,             0.42279,            0.034455,           0.0080023,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.05776,            0.012899,                   0,                   1,             0.89722,               0.995,             0.35149,            0.035594,           0.0080017,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.061568,            0.011141,                   0,                   1,             0.91292,               0.995,             0.32628,            0.036132,           0.0080986,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.059767,            0.012252,                   0,                   1,             0.95792,               0.995,             0.33992,            0.037011,           0.0078864,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.056961,            0.011911,                   0,                   1,             0.98716,               0.995,              0.4975,            0.031227,           0.0082213,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.051277,             0.01165,                   0,                   1,             0.98716,               0.995,              0.4975,            0.031227,           0.0082213,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.063052,            0.014493,                   0,                   1,             0.98906,               0.995,             0.52229,            0.030068,           0.0082814,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.060006,            0.015595,                   0,                   1,             0.97741,               0.995,              0.4975,            0.030846,           0.0080662,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.062249,            0.011867,                   0,                   1,             0.96974,               0.995,             0.52229,            0.031255,           0.0079817,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.048413,               0.012,                   0,                   1,             0.95598,               0.995,             0.42279,            0.034591,           0.0077819,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.055156,            0.011199,                   0,                   1,             0.93516,               0.995,             0.40221,            0.035711,           0.0077811,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.053978,            0.013452,                   0,                   1,             0.93516,               0.995,             0.40221,            0.035711,           0.0077811,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.05801,            0.011569,                   0,                   1,             0.92068,               0.995,             0.33071,            0.036343,           0.0077587,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.054668,            0.012519,                   0,                   1,             0.91029,               0.995,             0.33071,            0.036818,           0.0076662,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.058219,            0.013289,                   0,              0.9787,                   1,               0.995,             0.33071,              0.0372,           0.0075845,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.056407,            0.012342,                   0,             0.97189,                   1,               0.995,             0.32883,            0.036835,           0.0075045,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.052749,            0.013248,                   0,             0.96765,                   1,               0.995,             0.32904,            0.037222,           0.0073696,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.043867,            0.011495,                   0,             0.96765,                   1,               0.995,             0.32904,            0.037222,           0.0073696,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.052818,             0.01129,                   0,             0.96589,                   1,               0.995,             0.34821,            0.037544,           0.0072428,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.050101,            0.012255,                   0,             0.96691,                   1,               0.995,             0.33041,            0.037123,           0.0072337,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.050024,           0.0098089,                   0,             0.96602,                   1,               0.995,               0.398,            0.036928,           0.0071546,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.050726,            0.011396,                   0,             0.96689,                   1,               0.995,               0.398,            0.036198,           0.0071523,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.052449,            0.011794,                   0,             0.96884,                   1,               0.995,               0.398,            0.035284,           0.0071819,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.051821,            0.011725,                   0,             0.96884,                   1,               0.995,               0.398,            0.035284,           0.0071819,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.047182,            0.010128,                   0,             0.96949,                   1,               0.995,             0.42279,              0.0346,           0.0072091,                   0,            0.000298,            0.000298,            0.000298
