               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11852,               0.009,                   0,                   0,                   0,                   0,                   0,            0.078497,           0.0071745,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11707,           0.0093424,                   0,                   0,                   0,                   0,                   0,            0.077164,           0.0069113,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.12232,           0.0091809,                   0,                   0,                   0,                   0,                   0,            0.076536,           0.0068417,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.11767,              0.0092,                   0,                   0,                   0,                   0,                   0,            0.071788,           0.0074439,                   0,            0.082844,           0.0018436,           0.0018436
                   4,             0.10817,           0.0098296,                   0,                   0,                   0,                   0,                   0,            0.064865,            0.009037,                   0,            0.078305,            0.002305,            0.002305
                   5,             0.10959,            0.010086,                   0,            0.014925,                 0.5,             0.01179,            0.002358,            0.061835,           0.0095915,                   0,            0.073756,           0.0027564,           0.0027564
                   6,             0.10727,            0.010023,                   0,           0.0076923,                 0.5,            0.072676,            0.021803,            0.057265,           0.0097229,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.084935,            0.010314,                   0,            0.027778,                   1,            0.083152,            0.025147,            0.052857,            0.011074,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.083465,           0.0096012,                   0,            0.027778,                   1,             0.13233,            0.035905,            0.052159,            0.010915,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.085463,            0.011052,                   0,            0.016667,                   1,               0.199,             0.04055,            0.048865,            0.010015,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.083351,            0.012533,                   0,             0.28329,                   1,               0.995,             0.21158,            0.044366,            0.010057,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.084188,            0.011815,                   0,            0.014815,                   1,              0.4975,             0.16095,             0.04854,            0.010255,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.083202,            0.010799,                   0,            0.018182,                 0.5,             0.16964,            0.018417,            0.058735,           0.0099849,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.075026,           0.0096232,                   0,            0.020408,                 0.5,            0.015736,           0.0015736,            0.061524,           0.0095156,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.076126,            0.010752,                   0,            0.023256,                   1,             0.02519,            0.007557,            0.058901,           0.0094355,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.070374,            0.011561,                   0,            0.017094,                   1,             0.17931,             0.05401,            0.056558,           0.0093364,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.069904,            0.012472,                   0,            0.012821,                   1,               0.745,             0.38661,             0.05354,           0.0090623,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.071295,            0.010495,                   0,             0.74903,                 0.5,                0.62,              0.1986,             0.05176,           0.0083525,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.077956,            0.012797,                   0,             0.89386,                 0.5,             0.63786,             0.31893,            0.049208,           0.0081725,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.065745,           0.0098918,                   0,             0.45174,                 0.5,             0.63786,             0.19907,            0.048862,           0.0084471,                   0,           0.0090378,           0.0080378,           0.0080378
