               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1213,            0.030623,                   0,          0.00039216,             0.11765,          0.00031706,          0.00011379,            0.079262,            0.024643,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11744,            0.031035,                   0,          0.00039216,             0.11765,          0.00022736,          3.4435e-05,            0.075887,            0.022621,                   0,            0.093469,            0.000469,            0.000469
                   2,               0.115,            0.028703,                   0,          0.00058824,             0.17647,           0.0003575,          7.2758e-05,            0.074118,            0.021711,                   0,            0.089374,            0.000374,            0.000374
